,title,description,release_year,age_certification,runtime,genres,seasons,imdb_score,imdb_votes,name,character,role
25073,Sinatra: All or Nothing at All,"An up-close and personal examination of the life, music and career of the legendary entertainer. Told in his own words from hours of archived interviews, along with commentary from those closest to him, the documentary weaves the music and images from Sinatra’s life together with rarely seen footage of his famous 1971 “Retirement Concert” in Los Angeles. The film’s narrative is shaped by Sinatra’s song choices for that concert, which Gibney interprets as the singer’s personal guide through his own life.",2015,TV-14,122,"['documentation', 'music']",1.0,8.0,2354.0,Frank Sinatra,Himself (archive footage),ACTOR
25148,The Adventures of Puss in Boots,"The world's greatest feline fighter, lover and milk connoisseur is back in this original series filled with daring adventures, great boots, and laugh-out-loud fun! The entire family will be entranced by Puss' fantastical CG world filled with new characters, exotic locations and mystical tales that make up the stuff of legends. There's nothing that can get in this celebrated swashbuckling kitty's way...except maybe a hairball.",2015,TV-Y7,23,"['family', 'animation', 'comedy', 'fantasy', 'western', 'action']",6.0,6.6,1696.0,Eric Bauza,Puss In Boots (Voice),ACTOR
25154,Last Chance U,"In a docuseries set at one of NCAA football's most fertile recruiting grounds, guys with red flags seek to prove their worth on the field and in class.",2016,TV-MA,55,"['documentation', 'sport']",5.0,8.4,6789.0,Ron Ollie,Himself,ACTOR
25158,Signal, Detectives from the present and a detective from the past communicate via walkie-talkie to solve a long-time unsolved case.,2016,TV-MA,71,"['crime', 'scifi', 'thriller', 'drama', 'fantasy']",2.0,8.6,6338.0,정봉주,,ACTOR
25161,Between,Between is the story of a town under siege from a mysterious disease that has wiped out everybody except those 21 years old and under. The series explores the power vacuum that results when a government has quarantined a 10-mile diameter area and left the inhabitants to fend for themselves.,2015,TV-14,25,"['scifi', 'drama', 'thriller']",2.0,6.0,9059.0,Jennette McCurdy,Wiley Day,ACTOR
25169,Midnight Diner: Tokyo Stories,An anthology of human relationship stories connected by the only open in the wee hours diner the characters frequent. Resolutions are often facilitated by the owner/chef.,2016,TV-14,28,['drama'],2.0,8.4,4109.0,Kaoru Kobayashi,Master,ACTOR
25206,Reply 1988,A nostalgic trip back to the late 1980s through the lives of five families and their five teenage kids living in a small neighborhood in Seoul.,2015,TV-14,95,"['comedy', 'drama', 'family', 'romance']",1.0,9.2,6557.0,Lee Hye-ri,Sung Deok-sun,ACTOR
25225,Cinderella and Four Knights,"Eun Ha-Won is a college student. She is a bright girl who wants to be a veterinarian, but at home she is lonely. She is isolated from her family members. Eun Ha-Won lives with father, step-mother and step-sister after her mother died in a car accident. One day, she helps a mysterious old man. The old man suggests to her to live in a mansion and pursue her dream of becoming a veterinarian. Since than, she moves into the mansion and lives with three cousins Kang Ji-Woon, Kang Hyun-Min, Kang Seo-Woo and their bodyguard Lee Yoon-Sung.",2016,TV-PG,61,"['comedy', 'drama', 'romance']",1.0,7.5,3663.0,Jung Il-woo,Kang Ji-Woon,ACTOR
25276,Conspiracy,"Skeptics and others discuss widely held conspiracy theories involving aliens, government cover-ups, secret assassinations and other intrigues.",2015,TV-14,43,"['documentation', 'history', 'european']",1.0,6.2,367.0,Mark Bazeley,,ACTOR
25277,The Sound of Your Heart,"Comedy following Cho Seok's ridiculous but hilarious adventures with his girlfriend-turned-wife Ae Bong, their dogs, older brother Jo Joon, and parents. Based on the popular webtoon series of the same name.",2016,,24,"['drama', 'comedy']",2.0,8.2,1075.0,Lee Kwang-soo,Jo-Suk,ACTOR
25284,Spotless,"In London, the life of Jean, a troubled crime scene cleaner, is turned upside down when his outlaw brother Martin crash lands into his world, entangling them in the deadly dynamics of organized crime.",2015,TV-MA,58,"['drama', 'comedy', 'crime', 'european']",1.0,7.7,3635.0,Denis Ménochet,Martin Bastière,ACTOR
25327,Club de Cuervos,"When the patriarch of a prominent family dies, his heirs battle to determine who will gain control of his beloved soccer team: The Cuervos of Nuevo Toledo.",2015,TV-MA,44,"['comedy', 'drama']",4.0,8.2,5514.0,Luis Gerardo Méndez,Chava Iglesias,ACTOR
25338,Little Things,"A cohabiting couple in their 20s navigate the ups and downs of work, modern-day relationships and finding themselves in contemporary Bengaluru.",2016,TV-MA,25,"['comedy', 'drama', 'romance']",4.0,8.2,6461.0,Mithila Palkar,Kavya Kulkarni,ACTOR
25426,Kuromukuro,"When mecha attack a research center, its students, pilots, and researchers must fight back with the help of mysterious artifacts and a young samurai.",2016,TV-14,24,"['comedy', 'drama', 'action', 'scifi', 'animation']",2.0,7.2,1265.0,Manami Sugihira,Unami Marina,ACTOR
25497,Marseille,The longtime mayor of Marseille is preparing to hand over the reins to his protégé when a sudden and ruthless battle erupts for control of the city.,2016,TV-MA,46,"['drama', 'european']",2.0,6.9,5083.0,Valentine Lescure,,ACTOR
25543,The Method,"The main character is an extraordinary and mysterious person, at the  same time, he (Rodion Meglin) is an outstanding inspector. Rodion is  used to work alone in order to keep the secrecy of his unusual method.  Young graduate Esenya Steklova is eager to get the internship with the  glorious investigator but she could hardly expect the challenges she  would face while working with Rodion. Together they investigate the  cruelest crimes that took place in the history of Russian criminality.",2015,TV-MA,51,"['drama', 'thriller', 'crime']",2.0,7.4,2784.0,Konstantin Khabenskiy,Major Rodion Meglin,ACTOR
25553,Skylanders Academy,"Follow the heroic adventures of the Skylanders team, a group of heroes with unique elemental skills and personalities who travel the vast Skylands universe, protecting it from evil-doers and showing the next wave of Academy cadets how to do things the “Skylander way.”",2016,TV-Y7,23,"['action', 'animation', 'comedy', 'family', 'fantasy']",3.0,6.7,730.0,Justin Long,Spyro The Dragon,ACTOR
25842,"Can't Cope, Won't Cope","A darkly comic drama about two young women, as one of them starts to spiral out of control. Aisling used to getting her own way and Danielle, never one to hog the spotlight, is only too happy to go along with it. But things are changing. Reality is about to hit them, and hit them hard",2016,TV-MA,23,"['drama', 'comedy', 'european']",2.0,7.3,880.0,Muiris Crowley,Ferg,ACTOR
25876,The Mr. Peabody & Sherman Show,"The world's smartest dog and his boy host a zany late-night comedy show from a swanky penthouse, with time-traveling historical figures and a live audience.",2015,,23,"['comedy', 'scifi', 'animation', 'family', 'history']",4.0,5.7,433.0,Chris Parnell,Mr. Peabody (voice),ACTOR
25888,Inspector Gadget,"When Dr. Claw returns, Inspector Gadget is brought out of retirement to defeat him again, now with Penny and Brain's open participation.",2015,TV-Y,21,"['action', 'comedy', 'family', 'scifi', 'animation']",4.0,4.5,614.0,Ivan Sherry,Inspector Gadget (voice),ACTOR
25903,Heidi,"Knee-high to a grasshopper, Heidi, a young orphan brunette with curly hair and the face of an angel, is brought by her aunt to the Swiss Alps to live with her grand-father, a silent and solitary old man. Taking up the challenges of her new existence, she will display all her strength and natural resources to find her rightful place in a sometimes harsh and unfriendly environment. Whether in the magnificent mountain settings with Peter, the goatherd or shut away in a big mansion in Frankfurt with Clara, a disabled girl confined to a wheelchair, Heidi will learn the priceless value of friendship and mutual help. Like a ray of sunshine, Heidi lights up and soothes the hearts of people and animals around her, inspiring them with her enthusiastic, generous and wonderful zest for life. The essence of a positive heroine, Heidi goes through life in the present without ever losing her innocence and her free-spirited manners.",2015,TV-Y,27,"['drama', 'family', 'animation', 'european']",2.0,7.2,234.0,Jamie Croft,"Karl,Sebastian, Mr Keller",ACTOR
25995,Haters Back Off,"Delve into the oddball family life of Miranda Sings, an incredibly confident, totally untalented star on the rise, who continues to fail upward by the power of her belief that she was born famous, it's just no one knows it yet.",2016,TV-14,30,"['comedy', 'drama', 'family', 'romance']",2.0,6.1,7183.0,Colleen Ballinger,Miranda Sings,ACTOR
26000,Intersection,"Naz who is a paediatrician loses her baby during pregnancy. Even though her husband wants another baby, she refuses to go through the same thing all over again. She goes to Italy for a conference and meets Ali Nejat there.",2016,TV-MA,97,['drama'],2.0,6.7,1152.0,Ege Aydan,Ayhan,ACTOR
26011,Terrace House: Boys & Girls in the City,Six men and women start off as strangers and live together under one roof. All that is provided is a beautiful house and a car. There is no script.,2015,TV-14,29,"['reality', 'drama']",1.0,8.1,1624.0,Azusa Babazono,Herself - Commentator,ACTOR
26086,The K2,"A patriotic bodyguard who was abandoned by his country and colleagues, a hidden daughter of leading Presidential candidate who regards love as a tool for revenge, and the First Lady contender who hides her ambition and charisma behind a kind and friendly personality.",2016,TV-14,65,"['war', 'drama', 'romance', 'thriller']",1.0,7.9,5615.0,Ji Chang-wook,Kim Je-Ha,ACTOR
26095,Dinotrux,"Half dinosaur, half construction truck, full-on fun! Watch giant Ty Rux, his little buddy Revvit and the crew come face-to-face with evil D-Structs.",2015,TV-Y7,23,"['action', 'comedy', 'family', 'animation']",5.0,6.8,458.0,Andrew Francis,Ty Rux (voice),ACTOR
26103,"Hello, My Twenties!","With different personalities, life goals and taste in men, five female college students become housemates in a shared residence called Belle Epoque.",2016,TV-14,63,"['comedy', 'drama', 'romance']",2.0,8.3,2127.0,Han Yeri,Yoon Jin-myung,ACTOR
26116,Dawn of the Croods,"The world's first family is back for more laughs as they discover sports, sleepovers and other wonders in a world of exotic creatures and adventures. This 2D animated cartoon is based on the 3D animated feature film, ""The Croods"".",2015,TV-Y7,23,"['comedy', 'family', 'animation']",4.0,5.8,712.0,Dan Milano,Grug (voice),ACTOR
26124,Kong: King of the Apes,"Set in 2050, Kong becomes a wanted fugitive after wrecking havoc at Alcatraz Island’s Natural History and Marine Preserve. What most humans on the hunt for the formidable animal don’t realize, though, is that Kong was framed by an evil genius who plans to terrorize the world with an army of enormous robotic dinosaurs. As the only beast strong enough to save humanity from the mechanical dinos, Kong must rely on the help of three kids who know the truth about him.",2016,TV-Y7,21,"['animation', 'scifi', 'action', 'comedy', 'family']",2.0,5.9,325.0,Kathleen Barr,Botila,ACTOR
26167,Bella and the Bulldogs,"A head cheerleader's life takes an unexpected twist when her rifle-like throwing arm takes her from the sidelines to becoming her middle school’s starting quarterback. Bella Dawson is a confident, caring and talented teenager, who suddenly finds herself fulfilling a lifelong dream but also having to navigate the world of her teammates Troy, Sawyer and Newt, without losing her two best friends, Pepper and Sophie from the cheer squad.",2015,TV-G,23,"['comedy', 'family', 'sport']",2.0,5.0,2114.0,Brec Bassinger,Bella Dawson,ACTOR
26173,Unnatural Selection,Three high school students decide to escape the mundane urban environment and embark on a fishing adventure.,2015,TV-MA,35,"['reality', 'documentation', 'comedy']",1.0,8.1,12.0,Kevin Esvelt,Self,ACTOR
26201,Sin senos sí hay paraíso,A young woman born in a mafia-controlled town seeks revenge on those who wrongfully harmed and imprisoned her family.,2016,TV-MA,47,"['action', 'drama', 'romance', 'crime']",4.0,6.5,546.0,Carmen Villalobos,Catalina Santana,ACTOR
26214,Cooked,"Explored through the lenses of the four natural elements – fire, water, air and earth – COOKED is an enlightening and compelling look at the evolution of what food means to us through the history of food preparation and its universal ability to connect us. Highlighting our primal human need to cook, the series urges a return to the kitchen to reclaim our lost traditions and to forge a deeper, more meaningful connection to the ingredients and cooking techniques that we use to nourish ourselves.",2016,TV-PG,53,['documentation'],1.0,7.6,43.0,Michael Pollan,Himself,ACTOR
